PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-FG%,TOP-FGM,TOP-FGA,TOP-FG%
Aaron Brooks,CHI,31,380,615,61.8,95,273,34.8,206,541,38.1,27,61,44.3,19,49,38.8,135,416,32.5
Aaron Gordon,ORL,20,688,1152,59.7,167,432,38.7,272,690,39.4,42,129,32.6,46,118,39,266,700,38
Aaron Harrison,CHA,21,36,59,61,8,18,44.4,8,29,27.6,4,11,36.4,1,4,25,15,41,36.6
Adreian Payne,MIN,25,219,306,71.6,48,115,41.7,73,172,42.4,17,34,50,7,39,17.9,57,178,32
Al Horford,ATL,30,866,1518,57,228,608,37.5,482,1263,38.2,69,174,39.7,61,158,38.6,323,992,32.6
Al Jefferson,CHA,31,365,603,60.5,114,275,41.5,212,528,40.2,32,74,43.2,24,64,37.5,115,384,29.9
Al-Farouq Aminu,POR,25,773,1345,57.5,302,647,46.7,448,1069,41.9,52,151,34.4,47,116,40.5,292,799,36.5
Alan Anderson,WAS,33,43,74,58.1,19,49,38.8,27,87,31,5,14,35.7,4,6,66.7,32,89,36
Alan Williams,PHX,23,31,52,59.6,7,14,50,13,27,48.1,3,7,42.9,0,3,0,9,25,36
Alec Burks,UTA,24,250,425,58.8,58,194,29.9,127,312,40.7,29,67,43.3,16,43,37.2,83,242,34.3
Alex Len,PHX,23,622,1010,61.6,182,469,38.8,307,792,38.8,53,140,37.9,45,109,41.3,255,697,36.6
Alex Stepheson,MEM,28,19,41,46.3,11,20,55,11,26,42.3,3,8,37.5,0,2,0,9,27,33.3
Alexis Ajinca,NOP,28,260,435,59.8,81,206,39.3,148,374,39.6,24,52,46.2,17,46,37,121,339,35.7
Allen Crabbe,POR,24,661,1151,57.4,213,540,39.4,385,954,40.4,53,147,36.1,36,102,35.3,295,778,37.9
Alonzo Gee,NOP,29,601,967,62.2,164,398,41.2,270,713,37.9,34,99,34.3,40,92,43.5,219,631,34.7
Amar'e Stoudemire,MIA,33,259,434,59.7,80,211,37.9,147,360,40.8,18,44,40.9,11,38,28.9,83,243,34.2
Amir Johnson,BOS,29,585,1036,56.5,210,525,40,317,780,40.6,42,120,35,39,113,34.5,226,636,35.5
Anderson Varejao,GSW,33,155,247,62.8,46,118,39,88,218,40.4,9,29,31,4,23,17.4,74,203,36.5
Andre Drummond,DET,22,902,1445,62.4,338,791,42.7,534,1316,40.6,36,102,35.3,55,124,44.4,275,850,32.4
Andre Iguodala,GSW,32,617,1028,60,198,537,36.9,282,778,36.2,36,86,41.9,28,66,42.4,195,648,30.1
Andre Miller,SAS,40,137,224,61.2,44,100,44,82,186,44.1,14,31,45.2,7,34,20.6,70,200,35
Andre Roberson,OKC,24,561,989,56.7,150,395,38,263,712,36.9,39,99,39.4,40,98,40.8,182,564,32.3
Andrea Bargnani,BKN,30,251,384,65.4,67,152,44.1,107,232,46.1,19,41,46.3,15,33,45.5,86,254,33.9
Andrew Bogut,GSW,31,438,790,55.4,177,464,38.1,296,752,39.4,27,76,35.5,25,68,36.8,175,547,32
Andrew Goudelock,HOU,27,20,37,54.1,4,20,20,7,21,33.3,0,2,0,3,8,37.5,5,19,26.3
Andrew Nicholson,ORL,26,270,454,59.5,68,189,36,111,321,34.6,23,63,36.5,17,53,32.1,102,314,32.5
Andrew Wiggins,MIN,21,1097,1725,63.6,265,675,39.3,457,1131,40.4,74,185,40,69,214,32.2,383,1064,36
Anthony Bennett,TOR,23,30,45,66.7,6,12,50,13,35,37.1,1,3,33.3,5,7,71.4,17,33,51.5
Anthony Brown,LAL,23,231,363,63.6,54,136,39.7,96,239,40.2,14,33,42.4,9,38,23.7,72,235,30.6
Anthony Davis,NOP,23,745,1183,63,222,525,42.3,393,974,40.3,32,102,31.4,49,110,44.5,321,875,36.7
Anthony Morrow,OKC,30,358,608,58.9,99,242,40.9,129,353,36.5,18,55,32.7,26,59,44.1,105,324,32.4
Anthony Tolliver,DET,31,456,755,60.4,148,386,38.3,242,638,37.9,15,41,36.6,28,58,48.3,159,432,36.8
Archie Goodwin,PHX,21,428,666,64.3,107,265,40.4,166,447,37.1,42,81,51.9,35,80,43.8,159,437,36.4
Aron Baynes,DET,29,411,687,59.8,134,341,39.3,216,542,39.9,18,52,34.6,23,54,42.6,168,434,38.7
Arron Afflalo,NYK,30,838,1477,56.7,249,600,41.5,468,1084,43.2,53,132,40.2,39,120,32.5,271,838,32.3
Austin Rivers,LAC,23,531,913,58.2,123,349,35.2,244,600,40.7,23,87,26.4,35,78,44.9,184,551,33.4
Avery Bradley,BOS,25,854,1446,59.1,276,714,38.7,441,1094,40.3,65,169,38.5,47,148,31.8,318,910,34.9
Axel Toupane,DEN,23,125,201,62.2,25,62,40.3,44,118,37.3,10,27,37,5,19,26.3,43,109,39.4
Ben McLemore,SAC,23,472,751,62.8,163,413,39.5,273,654,41.7,44,116,37.9,45,133,33.8,216,575,37.6
Beno Udrih,MEM,33,203,365,55.6,77,181,42.5,133,302,44,20,49,40.8,18,50,36,83,244,34
Bismack Biyombo,TOR,23,524,964,54.4,196,507,38.7,258,714,36.1,50,110,45.5,53,116,45.7,237,702,33.8
Blake Griffin,LAC,27,366,612,59.8,126,329,38.3,229,609,37.6,17,54,31.5,13,38,34.2,139,404,34.4
Boban Marjanovic,SAS,27,149,258,57.8,57,124,46,91,218,41.7,7,25,28,12,35,34.3,64,176,36.4
Bobby Portis,CHI,21,406,665,61.1,102,267,38.2,199,513,38.8,28,69,40.6,23,50,46,145,414,35
Bojan Bogdanovic,BKN,27,875,1376,63.6,222,507,43.8,326,796,41,66,155,42.6,50,126,39.7,288,817,35.3
Boris Diaw,SAS,34,470,796,59,160,373,42.9,232,623,37.2,25,77,32.5,24,86,27.9,139,423,32.9
Bradley Beal,WAS,23,553,879,62.9,182,439,41.5,318,792,40.2,37,115,32.2,39,91,42.9,265,665,39.8
Brandan Wright,MEM,28,70,120,58.3,19,53,35.8,36,88,40.9,4,15,26.7,3,7,42.9,38,82,46.3
Branden Dawson,LAC,23,16,29,55.2,5,7,71.4,4,8,50,1,3,33.3,-,-,-,3,12,25
Brandon Bass,LAL,31,559,849,65.8,120,297,40.4,205,528,38.8,21,78,26.9,27,80,33.8,167,511,32.7
Brandon Jennings,ORL,26,297,490,60.6,83,230,36.1,140,358,39.1,29,62,46.8,17,44,38.6,115,298,38.6
Brandon Knight,PHX,24,660,1058,62.4,189,451,41.9,333,811,41.1,56,132,42.4,42,110,38.2,262,691,37.9
Brandon Rush,GSW,30,397,646,61.5,126,313,40.3,182,478,38.1,19,58,32.8,20,51,39.2,152,419,36.3
Brian Roberts,POR,30,138,217,63.6,46,127,36.2,88,212,41.5,10,29,34.5,6,20,30,80,196,40.8
Briante Weber,MIA,23,54,87,62.1,24,43,55.8,25,47,53.2,4,10,40,9,16,56.3,25,71,35.2
Brook Lopez,BKN,28,905,1459,62,245,590,41.5,386,992,38.9,72,168,42.9,62,170,36.5,338,923,36.6
Bruno Caboclo,TOR,20,22,37,59.5,0,8,0,5,11,45.5,1,1,100,2,4,50,5,20,25
Bryce Cotton,MEM,23,18,25,72,5,9,55.6,12,19,63.2,0,1,0,1,1,100,4,14,28.6
Bryce Dejean-Jones,NOP,23,102,167,61.1,34,74,45.9,44,114,38.6,5,12,41.7,6,12,50,41,98,41.8
CJ McCollum,POR,24,856,1529,56,313,723,43.3,542,1291,42,67,168,39.9,55,142,38.7,365,971,37.6
CJ Miles,IND,29,515,873,59,138,334,41.3,245,625,39.2,40,101,39.6,38,108,35.2,180,530,34
CJ Watson,ORL,32,263,405,64.9,65,165,39.4,90,249,36.1,12,36,33.3,20,49,40.8,89,243,36.6
CJ Wilcox,LAC,25,58,95,61.1,19,50,38,15,65,23.1,3,9,33.3,4,12,33.3,20,66,30.3
Cameron Bairstow,DET,25,23,54,42.6,7,24,29.2,20,43,46.5,2,7,28.6,2,4,50,18,54,33.3
Cameron Payne,OKC,21,264,423,62.4,54,177,30.5,109,280,38.9,20,48,41.7,14,35,40,89,242,36.8
Carl Landry,PHI,32,225,338,66.6,62,160,38.8,107,257,41.6,14,32,43.8,5,14,35.7,74,196,37.8
Carmelo Anthony,NYK,32,879,1546,56.9,252,625,40.3,461,1155,39.9,52,128,40.6,47,123,38.2,313,923,33.9
Caron Butler,SAC,36,66,97,68,15,47,31.9,36,84,42.9,2,9,22.2,4,9,44.4,24,67,35.8
Chandler Parsons,DAL,27,594,942,63.1,197,492,40,336,800,42,52,140,37.1,38,127,29.9,222,645,34.4
Channing Frye,CLE,33,372,612,60.8,106,279,38,218,524,41.6,33,77,42.9,31,82,37.8,144,424,34
Charles Hayes,LAC,33,11,18,61.1,4,8,50,2,11,18.2,1,2,50,0,2,0,1,8,12.5
Charlie Villanueva,DAL,31,226,361,62.6,72,171,42.1,115,269,42.8,10,40,25,22,51,43.1,88,259,34
Chase Budinger,PHX,28,341,566,60.2,99,222,44.6,169,421,40.1,23,79,29.1,21,56,37.5,107,290,36.9
Chris Andersen,MEM,37,133,210,63.3,35,81,43.2,61,144,42.4,9,31,29,10,23,43.5,72,164,43.9
Chris Bosh,MIA,32,503,899,56,208,490,42.4,335,857,39.1,53,124,42.7,41,112,36.6,191,589,32.4
Chris Copeland,MIL,32,50,84,59.5,17,31,54.8,19,50,38,11,17,64.7,3,9,33.3,27,64,42.2
Chris Johnson,UTA,26,261,436,59.9,76,207,36.7,131,350,37.4,20,55,36.4,19,60,31.7,111,328,33.8
Chris Kaman,POR,34,22,44,50,18,31,58.1,32,71,45.1,0,5,0,1,8,12.5,17,40,42.5
Chris McCullough,BKN,21,165,256,64.5,38,77,49.4,46,111,41.4,14,35,40,12,23,52.2,57,151,37.7
Chris Paul,LAC,31,758,1290,58.8,243,669,36.3,437,1165,37.5,34,136,25,49,133,36.8,312,860,36.3
Christian Wood,PHI,20,55,89,61.8,19,52,36.5,26,59,44.1,3,8,37.5,4,11,36.4,22,59,37.3
Cleanthony Early,NYK,25,49,96,51,14,41,34.1,22,61,36.1,6,21,28.6,2,8,25,12,43,27.9
Cliff Alexander,POR,20,8,15,53.3,4,8,50,8,15,53.3,4,4,100,1,2,50,5,19,26.3
Clint Capela,HOU,22,517,865,59.8,141,359,39.3,200,517,38.7,51,134,38.1,59,142,41.5,179,534,33.5
Cody Zeller,CHA,23,569,965,59,139,394,35.3,338,780,43.3,45,135,33.3,39,110,35.5,263,706,37.3
Cole Aldrich,LAC,27,270,463,58.3,78,197,39.6,124,295,42,21,54,38.9,16,52,30.8,82,279,29.4
Corey Brewer,HOU,30,595,985,60.4,165,410,40.2,244,616,39.6,59,165,35.8,61,144,42.4,218,664,32.8
Cory Jefferson,PHX,25,21,36,58.3,5,14,35.7,6,22,27.3,2,2,100,1,2,50,8,14,57.1
Cory Joseph,TOR,24,605,1099,55.1,210,550,38.2,308,841,36.6,57,124,46,45,115,39.1,245,741,33.1
Coty Clarke,BOS,23,3,3,100,0,0,0,3,5,60,-,-,-,0,0,0,0,2,0
Courtney Lee,CHA,30,777,1258,61.8,217,537,40.4,350,906,38.6,63,182,34.6,55,153,35.9,299,852,35.1
Cristiano Felicio,CHI,23,102,185,55.1,27,68,39.7,34,119,28.6,11,25,44,6,12,50,45,122,36.9
D'Angelo Russell,LAL,20,918,1431,64.2,225,516,43.6,371,906,40.9,55,155,35.5,50,132,37.9,294,860,34.2
D.J. Augustin,DEN,28,456,755,60.4,109,278,39.2,161,427,37.7,28,79,35.4,32,77,41.6,146,447,32.7
Dahntay Jones,CLE,35,9,17,52.9,3,10,30,7,16,43.8,1,4,25,1,1,100,9,20,45
Damian Lillard,POR,25,877,1499,58.5,343,737,46.5,523,1284,40.7,53,159,33.3,42,123,34.1,359,929,38.6
Damien Inglis,MIL,21,61,118,51.7,16,36,44.4,12,48,25,4,8,50,6,12,50,18,55,32.7
Damjan Rudez,MIN,30,99,155,63.9,27,60,45,42,109,38.5,6,15,40,1,15,6.7,47,120,39.2
Danilo Gallinari,DEN,27,660,1067,61.9,168,400,42,322,796,40.5,38,124,30.6,52,140,37.1,255,654,39
Danny Green,SAS,29,602,1089,55.3,217,583,37.2,414,1006,41.2,36,118,30.5,39,109,35.8,215,624,34.5
Dante Cunningham,NOP,29,691,1041,66.4,207,464,44.6,340,828,41.1,41,108,38,35,91,38.5,320,845,37.9
Darrell Arthur,DEN,28,498,857,58.1,126,330,38.2,261,657,39.7,41,112,36.6,34,89,38.2,205,559,36.7
Darren Collison,SAC,28,738,1154,64,265,652,40.6,357,863,41.4,58,175,33.1,77,188,41,329,897,36.7
Darrun Hilliard,DET,23,114,207,55.1,41,108,38,72,187,38.5,7,18,38.9,9,20,45,52,123,42.3
David Lee,DAL,33,305,474,64.3,78,222,35.1,142,383,37.1,29,79,36.7,18,64,28.1,127,345,36.8
David West,SAS,35,434,759,57.2,146,359,40.7,280,688,40.7,22,83,26.5,30,79,38,130,407,31.9
DeAndre Jordan,LAC,27,821,1381,59.4,260,700,37.1,473,1269,37.3,36,147,24.5,49,135,36.3,344,953,36.1
DeJuan Blair,WAS,27,77,120,64.2,27,58,46.6,40,95,42.1,7,16,43.8,6,13,46.2,23,70,32.9
DeMar DeRozan,TOR,26,882,1483,59.5,309,775,39.9,458,1140,40.2,81,191,42.4,70,177,39.5,361,1004,36
DeMarcus Cousins,SAC,25,724,1153,62.8,268,636,42.1,404,1010,40,67,191,35.1,71,194,36.6,351,941,37.3
DeMarre Carroll,TOR,29,220,367,59.9,92,216,42.6,120,323,37.2,23,60,38.3,18,45,40,106,299,35.5
Delon Wright,TOR,24,79,138,57.2,13,51,25.5,33,81,40.7,6,12,50,11,25,44,28,89,31.5
Dennis Schroder,ATL,22,498,896,55.6,150,382,39.3,278,712,39,43,116,37.1,29,89,32.6,184,579,31.8
Deron Williams,DAL,32,675,1088,62,216,543,39.8,370,899,41.2,57,156,36.5,43,157,27.4,278,817,34
Derrick Favors,UTA,24,616,1043,59.1,198,489,40.5,341,812,42,53,129,41.1,46,122,37.7,221,626,35.3
Derrick Rose,CHI,27,779,1356,57.4,238,586,40.6,446,1076,41.4,47,131,35.9,46,107,43,239,715,33.4
Derrick Williams,NYK,25,540,895,60.3,134,359,37.3,230,596,38.6,44,94,46.8,25,81,30.9,178,515,34.6
Devin Booker,PHX,19,745,1200,62.1,221,525,42.1,330,855,38.6,70,175,40,56,141,39.7,297,810,36.7
Devin Harris,DAL,33,416,672,61.9,117,311,37.6,232,552,42,30,90,33.3,27,91,29.7,191,552,34.6
Devyn Marble,ORL,23,90,141,63.8,20,59,33.9,43,114,37.7,6,12,50,6,16,37.5,23,81,28.4
Dewayne Dedmon,ORL,26,280,464,60.3,58,155,37.4,90,244,36.9,18,56,32.1,15,46,32.6,94,269,34.9
Dion Waiters,OKC,24,820,1379,59.5,205,566,36.2,346,883,39.2,48,135,35.6,44,109,40.4,272,770,35.3
Dirk Nowitzki,DAL,38,687,1118,61.4,250,618,40.5,469,1120,41.9,69,175,39.4,55,175,31.4,311,879,35.4
Donald Sloan,BKN,28,533,845,63.1,137,339,40.4,225,533,42.2,31,87,35.6,33,83,39.8,176,486,36.2
Donatas Motiejunas,HOU,25,233,333,70,42,143,29.4,59,194,30.4,14,57,24.6,20,46,43.5,81,223,36.3
Doug McDermott,CHI,24,647,1069,60.5,191,490,39,346,900,38.4,47,118,39.8,42,102,41.2,225,676,33.3
Draymond Green,GSW,26,914,1574,58.1,351,949,37,492,1329,37,48,148,32.4,48,127,37.8,365,1126,32.4
Drew Gooden,WAS,34,108,170,63.5,38,75,50.7,60,143,42,7,15,46.7,8,17,47.1,37,100,37
Duje Dukan,SAC,24,14,17,82.4,1,3,33.3,2,7,28.6,0,2,0,1,3,33.3,4,16,25
Dwight Howard,HOU,30,779,1236,63,233,574,40.6,359,925,38.8,68,199,34.2,74,176,42,323,896,36
Dwight Powell,DAL,24,349,542,64.4,88,247,35.6,159,393,40.5,20,55,36.4,17,71,23.9,123,380,32.4
Dwyane Wade,MIA,34,750,1285,58.4,288,705,40.9,410,1020,40.2,55,144,38.2,51,130,39.2,238,683,34.8
E'Twaun Moore,CHI,27,450,804,56,147,390,37.7,237,579,40.9,29,70,41.4,24,61,39.3,139,426,32.6
Ed Davis,POR,27,497,900,55.2,162,419,38.7,317,811,39.1,40,113,35.4,29,88,33,239,608,39.3
Edy Tavares,ATL,24,23,37,62.2,10,19,52.6,18,43,41.9,1,5,20,6,10,60,10,22,45.5
Elfrid Payton,ORL,22,783,1282,61.1,207,515,40.2,353,848,41.6,50,136,36.8,47,154,30.5,286,773,37
Elijah Millsap,UTA,28,47,86,54.7,10,38,26.3,23,74,31.1,6,11,54.5,3,8,37.5,21,68,30.9
Elliot Williams,CHA,27,9,19,47.4,6,11,54.5,10,20,50,2,2,100,2,3,66.7,6,22,27.3
Elton Brand,PHI,37,67,107,62.6,35,84,41.7,36,94,38.3,7,17,41.2,2,9,22.2,27,97,27.8
Emmanuel Mudiay,DEN,20,739,1226,60.3,180,445,40.4,341,851,40.1,52,169,30.8,65,157,41.4,312,801,39
Enes Kanter,OKC,24,651,1084,60.1,181,467,38.8,274,704,38.9,44,114,38.6,42,92,45.7,201,606,33.2
Eric Bledsoe,PHX,26,364,589,61.8,116,271,42.8,178,439,40.5,30,67,44.8,23,61,37.7,158,428,36.9
Eric Gordon,NOP,27,488,812,60.1,146,356,41,281,690,40.7,27,79,34.2,30,72,41.7,210,594,35.4
Eric Moreland,SAC,24,16,26,61.5,3,18,16.7,5,12,41.7,1,2,50,1,2,50,9,27,33.3
Erick Green,DEN,25,11,20,55,8,14,57.1,7,12,58.3,1,3,33.3,1,4,25,5,9,55.6
Ersan Ilyasova,ORL,29,687,1077,63.8,240,515,46.6,349,826,42.3,37,94,39.4,36,89,40.4,212,597,35.5
Evan Fournier,ORL,23,922,1513,60.9,253,612,41.3,419,990,42.3,69,188,36.7,67,192,34.9,348,921,37.8
Evan Turner,BOS,27,786,1280,61.4,235,635,37,373,967,38.6,54,131,41.2,58,146,39.7,250,805,31.1
Festus Ezeli,GSW,26,253,410,61.7,111,307,36.2,145,380,38.2,8,31,25.8,9,30,30,88,254,34.6
Frank Kaminsky,CHA,23,534,914,58.4,161,427,37.7,309,766,40.3,45,117,38.5,31,109,28.4,224,639,35.1
Garrett Temple,WAS,30,613,1032,59.4,187,452,41.4,377,920,41,51,123,41.5,36,107,33.6,259,721,35.9
Gary Harris,DEN,21,887,1447,61.3,238,537,44.3,416,1039,40,67,184,36.4,77,187,41.2,353,900,39.2
Gary Neal,WAS,31,274,424,64.6,91,191,47.6,139,351,39.6,22,47,46.8,21,60,35,124,322,38.5
George Hill,IND,30,795,1367,58.2,254,586,43.3,442,1139,38.8,60,181,33.1,77,187,41.2,299,894,33.4
Gerald Green,MIA,30,471,804,58.6,189,442,42.8,272,713,38.1,42,95,44.2,37,100,37,175,561,31.2
Gerald Henderson,POR,28,401,742,54,165,394,41.9,270,661,40.8,29,86,33.7,27,76,35.5,215,525,41
Giannis Antetokounmpo,MIL,21,1038,1738,59.7,244,574,42.5,380,962,39.5,92,248,37.1,90,230,39.1,374,1075,34.8
Glenn Robinson,IND,22,189,307,61.6,38,104,36.5,80,211,37.9,13,36,36.1,16,45,35.6,65,180,36.1
