PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,PERCENTILE
Hollis Thompson,PHI,77,57,9.50%,0.84,48,21,51,41.2,41.2,7.00%,7.00%,5.30%,3.50%,40.40%,51.1
Mason Plumlee,POR,82,53,5.40%,0.83,44,19,47,40.4,40.4,11.30%,7.50%,9.40%,7.50%,39.60%,54.6
Bradley Beal,WAS,55,56,11.00%,0.79,44,18,48,37.5,40.6,7.10%,8.90%,7.10%,1.80%,37.50%,64.3
Brook Lopez,BKN,74,56,5.70%,0.79,44,16,47,34,35.1,12.50%,5.40%,12.50%,1.80%,39.30%,64.3
Russell Westbrook,OKC,80,60,7.10%,0.82,49,20,51,39.2,43.1,6.70%,10.00%,5.00%,1.70%,38.30%,57.6
Chandler Parsons,DAL,61,61,12.50%,0.72,44,15,54,27.8,30.6,11.50%,1.60%,11.50%,1.60%,34.40%,77.4
Isaiah Thomas,BOS,82,70,8.70%,0.7,49,15,51,29.4,30.4,17.10%,11.40%,12.90%,1.40%,35.70%,80.7
Wesley Matthews,DAL,78,80,9.60%,0.6,48,17,57,29.8,32.5,8.80%,20.00%,6.30%,0.00%,28.80%,92.2
Shane Larkin,BKN,78,40,6.50%,1.17,47,18,35,51.4,55.7,15.00%,7.50%,15.00%,10.00%,50.00%,4.5
Leandro Barbosa,GSW,68,51,16.50%,0.88,45,16,47,34,38.3,13.70%,2.00%,13.70%,7.80%,37.30%,42.2
Alex Len,PHX,78,60,6.90%,0.78,47,21,53,39.6,39.6,8.30%,8.30%,8.30%,5.00%,38.30%,65.4
Toney Douglas,NOP,61,42,9.70%,1.17,49,17,36,47.2,55.6,11.90%,2.40%,9.50%,2.40%,50.00%,4.8
Larry Nance,LAL,63,56,14.00%,0.91,51,15,44,34.1,39.8,23.20%,3.60%,19.60%,5.40%,42.90%,35.1
Anthony Tolliver,DET,72,60,12.60%,0.87,52,21,54,38.9,41.7,8.30%,3.30%,6.70%,1.70%,40.00%,45.6
Nemanja Bjelica,MIN,60,66,14.40%,0.79,52,20,58,34.5,36.2,9.10%,6.10%,9.10%,3.00%,36.40%,62.7
Elfrid Payton,ORL,73,69,8.40%,0.67,46,13,43,30.2,30.2,15.90%,21.70%,8.70%,0.00%,34.80%,86.4
ETwaun Moore,CHI,59,44,10.10%,1.07,47,18,38,47.4,52.6,13.60%,2.30%,9.10%,2.30%,50.00%,10.8
Tony Snell,CHI,64,54,11.80%,0.87,47,20,46,43.5,43.5,14.80%,11.10%,14.80%,11.10%,40.70%,44.4
Gordon Hayward,UTA,80,61,9.20%,0.92,56,21,51,41.2,44.1,11.50%,4.90%,11.50%,0.00%,45.90%,34.1
JR Smith,CLE,77,53,7.70%,0.89,47,14,39,35.9,41,15.10%,11.30%,15.10%,0.00%,41.50%,40.7
Austin Rivers,LAC,67,55,9.50%,0.89,49,13,37,35.1,43.2,21.80%,12.70%,18.20%,1.80%,43.60%,38.4
Rajon Rondo,SAC,72,45,5.10%,1.07,48,16,33,48.5,56.1,20.00%,11.10%,17.80%,4.40%,51.10%,11.1
Nikola Vucevic,ORL,65,55,6.40%,0.91,50,21,46,45.7,45.7,7.30%,9.10%,5.50%,0.00%,45.50%,35.7
Andre Roberson,OKC,70,55,9.40%,0.87,48,16,43,37.2,37.2,18.20%,7.30%,18.20%,3.60%,41.80%,43.6
Damian Lillard,POR,75,66,6.40%,0.73,48,17,45,37.8,40,15.20%,19.70%,12.10%,3.00%,34.80%,76.3
Louis Williams,LAL,67,49,8.00%,1,49,22,41,53.7,57.3,4.10%,12.20%,4.10%,0.00%,46.90%,18.7
Rudy Gobert,UTA,61,55,6.50%,0.89,49,18,43,41.9,45.3,16.40%,7.30%,14.50%,1.80%,45.50%,38.4
Patrick Patterson,TOR,79,79,11.60%,0.66,52,19,64,29.7,33.6,7.60%,11.40%,5.10%,0.00%,30.40%,87.7
Goran Dragic,MIA,72,48,6.10%,1.04,50,15,35,42.9,42.9,25.00%,8.30%,18.80%,6.30%,50.00%,15
Jeff Teague,ATL,79,53,6.40%,0.94,50,19,42,45.2,48.8,9.40%,11.30%,7.50%,0.00%,45.30%,29.1
Devin Booker,PHX,76,59,9.00%,0.85,50,15,41,36.6,39,16.90%,13.60%,10.20%,0.00%,42.40%,49.6
Shaun Livingston,GSW,78,63,10.80%,0.84,53,15,45,33.3,35.6,22.20%,7.90%,19.00%,1.60%,41.30%,51.5
JJ Redick,LAC,75,62,9.60%,0.84,52,21,49,42.9,44.9,8.10%,14.50%,8.10%,1.60%,40.30%,52.6
Jared Sullinger,BOS,81,70,9.10%,0.74,52,21,59,35.6,37.3,7.10%,10.00%,5.70%,1.40%,35.70%,72.5
Ramon Sessions,WAS,82,58,9.60%,0.91,53,18,41,43.9,47.6,17.20%,15.50%,12.10%,3.40%,43.10%,34.8
Lavoy Allen,IND,79,61,9.70%,0.97,59,23,50,46,51,8.20%,9.80%,9.80%,1.60%,44.30%,25.8
Kyle Korver,ATL,80,70,9.90%,0.73,51,20,59,33.9,36.4,10.00%,10.00%,8.60%,4.30%,34.30%,75.4
Deron Williams,DAL,65,71,9.40%,0.72,51,20,61,32.8,36.1,7.00%,9.90%,5.60%,2.80%,32.40%,77.7
Avery Bradley,BOS,76,79,9.40%,0.7,55,15,52,28.8,29.8,16.50%,19.00%,12.70%,1.30%,34.20%,81.5
Cory Joseph,TOR,80,62,8.10%,0.92,57,24,54,44.4,47.2,8.10%,9.70%,8.10%,4.80%,41.90%,33.6
Omri Casspi,SAC,69,60,11.20%,0.87,52,22,50,44,47,8.30%,11.70%,8.30%,3.30%,41.70%,45.6
Trevor Booker,UTA,79,69,12.30%,0.77,53,21,58,36.2,38.8,10.10%,7.20%,8.70%,1.40%,37.70%,68.2
Rudy Gay,SAC,70,84,10.90%,0.79,66,20,60,33.3,39.2,14.30%,14.30%,10.70%,0.00%,36.90%,64.3
Terrence Jones,HOU,50,53,15.50%,1,53,19,42,45.2,51.2,11.30%,11.30%,9.40%,1.90%,45.30%,18.7
Nerlens Noel,PHI,67,59,6.60%,0.93,55,22,49,44.9,46.9,11.90%,10.20%,11.90%,5.10%,44.10%,32.1
Ersan Ilyasova,DET,52,55,11.20%,0.96,53,23,43,53.5,53.5,9.10%,14.50%,9.10%,1.80%,49.10%,26.1
Zach LaVine,MIN,82,62,7.60%,0.89,55,18,50,36,38,17.70%,4.80%,11.30%,3.20%,43.50%,40.4
DeMarcus Cousins,SAC,65,62,5.80%,0.85,53,17,45,37.8,43.3,14.50%,14.50%,11.30%,1.60%,40.30%,48.4
Langston Galloway,NYK,82,63,8.10%,0.84,53,19,51,37.3,39.2,12.70%,6.30%,11.10%,0.00%,41.30%,51.5
Jimmy Butler,CHI,67,73,8.40%,0.73,53,21,57,36.8,37.7,9.60%,13.70%,9.60%,1.40%,37.00%,76.9
Marvin Williams,CHA,81,73,9.30%,0.73,53,20,67,29.9,33.6,8.20%,1.40%,6.80%,1.40%,34.20%,76.9
Gorgui Dieng,MIN,82,68,7.50%,0.96,65,24,54,44.4,44.4,16.20%,7.40%,11.80%,2.90%,47.10%,27.3
Kent Bazemore,ATL,75,57,7.60%,1.05,60,21,45,46.7,50,15.80%,7.00%,14.00%,1.80%,50.90%,12.8
Tayshaun Prince,MIN,77,58,13.10%,1,58,20,46,43.5,48.9,13.80%,10.30%,13.80%,3.40%,44.80%,18.7
Andre Iguodala,GSW,65,63,11.20%,0.97,61,25,50,50,53,11.10%,12.70%,9.50%,3.20%,46.00%,25.4
Corey Brewer,HOU,82,63,10.40%,0.9,57,23,52,44.2,50,4.80%,12.70%,3.20%,0.00%,41.30%,36.3
Zaza Pachulia,DAL,76,70,8.00%,0.81,57,26,58,44.8,44.8,7.10%,12.90%,5.70%,2.90%,40.00%,58.4
Luol Deng,MIA,74,79,10.70%,0.75,59,25,69,36.2,37,8.90%,6.30%,8.90%,2.50%,38.00%,71.4
Harrison Barnes,GSW,66,74,12.40%,0.82,61,25,62,40.3,41.1,9.50%,9.50%,6.80%,2.70%,40.50%,55.6
Bojan Bogdanovic,BKN,79,83,12.70%,0.77,64,26,73,35.6,37.7,6.00%,7.20%,4.80%,1.20%,36.10%,66.9
Timofey Mozgov,CLE,76,77,12.30%,0.81,62,25,68,36.8,38.2,11.70%,2.60%,11.70%,2.60%,40.30%,59.1
Nikola Jokic,DEN,80,77,10.20%,0.82,63,23,60,38.3,40,11.70%,10.40%,9.10%,0.00%,40.30%,56.9
Raul Neto,UTA,81,52,8.90%,1.15,60,26,40,65,67.5,7.70%,15.40%,7.70%,0.00%,57.70%,6.3
Blake Griffin,LAC,35,67,15.60%,0.99,66,25,56,44.6,50,10.40%,6.00%,7.50%,0.00%,46.30%,22.8
Amir Johnson,BOS,79,67,8.90%,0.93,62,24,54,44.4,48.1,9.00%,11.90%,9.00%,1.50%,43.30%,32.6
Derrick Favors,UTA,62,69,8.70%,0.88,61,26,67,38.8,42.5,4.30%,1.40%,2.90%,2.90%,39.10%,41.7
CJ McCollum,POR,80,76,8.20%,0.79,60,23,57,40.4,41.2,10.50%,17.10%,10.50%,3.90%,36.80%,62.3
Marcus Smart,BOS,61,62,10.20%,0.95,59,16,35,45.7,51.4,27.40%,16.10%,22.60%,0.00%,51.60%,28.3
Andre Drummond,DET,81,66,4.70%,0.89,59,25,58,43.1,44,9.10%,6.10%,7.60%,3.00%,43.90%,37.3
John Wall,WAS,77,69,7.20%,0.86,59,25,59,42.4,43.2,7.20%,8.70%,7.20%,1.40%,42.00%,48.1
Paul Millsap,ATL,81,86,8.60%,0.71,61,24,71,33.8,36.6,5.80%,11.60%,3.50%,0.00%,33.70%,79.2
DAngelo Russell,LAL,80,62,7.40%,1.13,70,26,49,53.1,56.1,16.10%,8.10%,12.90%,3.20%,54.80%,7.3
Kyle Singler,OKC,68,64,20.60%,0.98,63,19,48,39.6,42.7,20.30%,7.80%,21.90%,4.70%,45.30%,23.1
Jerami Grant,PHI,77,72,9.70%,1.03,74,22,51,43.1,46.1,20.80%,11.10%,20.80%,2.80%,48.60%,16.8
Allen Crabbe,POR,81,69,9.80%,0.88,61,18,50,36,39,21.70%,11.60%,21.70%,5.80%,40.60%,41.7
Meyers Leonard,POR,62,67,10.10%,0.9,60,24,59,40.7,44.1,10.40%,3.00%,7.50%,1.50%,43.30%,37.1
Kentavious Caldwell-Pope,DET,76,70,6.90%,0.86,60,19,46,41.3,44.6,15.70%,18.60%,14.30%,0.00%,42.90%,47.2
Boris Diaw,SAS,76,70,14.30%,0.86,60,20,53,37.7,38.7,15.70%,10.00%,15.70%,1.40%,42.90%,47.2
Mirza Teletovic,PHX,79,87,14.80%,0.82,71,25,65,38.5,41.5,16.10%,10.30%,13.80%,1.10%,40.20%,57.9
Thaddeus Young,BKN,73,75,8.70%,0.8,60,22,63,34.9,36.5,16.00%,6.70%,14.70%,6.70%,38.70%,60.4
Alonzo Gee,NOP,73,60,11.00%,1.02,61,24,49,49,51,11.70%,10.00%,8.30%,3.30%,48.30%,17.5
Wesley Johnson,LAC,80,63,11.00%,0.97,61,19,41,46.3,50,23.80%,15.90%,19.00%,4.80%,47.60%,25.4
Kemba Walker,CHA,81,70,6.40%,0.87,61,25,58,43.1,48.3,4.30%,12.90%,2.90%,0.00%,40.00%,43.9
Karl-Anthony Towns,MIN,82,78,7.40%,0.82,64,24,65,36.9,40.8,10.30%,7.70%,9.00%,1.30%,37.20%,56.4
Giannis Antetokounmpo,MIL,80,94,10.30%,0.65,61,19,78,24.4,26.9,12.80%,7.40%,10.60%,3.20%,29.80%,88.2
Jabari Parker,MIL,76,65,7.80%,0.95,62,19,48,39.6,41.7,16.90%,10.80%,15.40%,1.50%,44.60%,27.6
Robin Lopez,NYK,82,73,6.80%,0.85,62,25,65,38.5,40.8,11.00%,2.70%,11.00%,2.70%,42.50%,49.4
Kevin Love,CLE,77,76,8.30%,0.82,62,27,64,42.2,43,5.30%,11.80%,3.90%,1.30%,39.50%,58.1
Chris Bosh,MIA,53,82,12.10%,0.76,62,26,72,36.1,38.9,4.90%,8.50%,4.90%,1.20%,35.40%,69.4
Patrick Beverley,HOU,71,52,7.40%,1.21,63,26,46,56.5,63,5.80%,5.80%,3.80%,0.00%,55.80%,3.3
Julius Randle,LAL,81,84,10.60%,0.79,66,22,66,33.3,38.6,9.50%,11.90%,9.50%,1.20%,34.50%,64.3
Danilo Gallinari,DEN,53,80,14.80%,0.79,63,24,64,37.5,41.4,8.80%,11.30%,6.30%,0.00%,37.50%,62.9
Dante Cunningham,NOP,80,87,13.40%,0.72,63,22,72,30.6,32.6,11.50%,5.70%,10.30%,0.00%,35.60%,77.2
Jordan Clarkson,LAL,79,72,7.60%,1,72,24,52,46.2,48.1,18.10%,12.50%,18.10%,2.80%,48.60%,18.7
Steven Adams,OKC,80,98,10.00%,0.66,65,28,88,31.8,35.2,3.10%,8.20%,3.10%,1.00%,30.60%,86.7
Emmanuel Mudiay,DEN,68,62,7.90%,1.08,67,23,48,47.9,52.1,16.10%,8.10%,11.30%,1.60%,51.60%,9.3
Gary Harris,DEN,76,74,9.40%,0.88,65,22,61,36.1,39.3,14.90%,6.80%,9.50%,4.10%,40.50%,42.9
Marcin Gortat,WAS,75,82,7.20%,0.82,67,26,65,40,44.6,8.50%,12.20%,7.30%,0.00%,39.00%,57.4
Andrew Wiggins,MIN,81,98,10.10%,0.68,67,24,80,30,31.3,12.20%,7.10%,9.20%,1.00%,35.70%,83.7
Darrell Arthur,DEN,70,76,13.70%,0.87,66,26,65,40,43.8,9.20%,9.20%,9.20%,3.90%,39.50%,45.1
Tristan Thompson,CLE,82,93,9.30%,0.74,69,27,78,34.6,35.9,11.80%,5.40%,11.80%,1.10%,37.60%,72.9
Evan Turner,BOS,81,95,11.80%,0.74,70,27,82,32.9,35.4,9.50%,5.30%,7.40%,1.10%,36.80%,73.7
Justise Winslow,MIA,78,83,9.70%,0.84,70,26,70,37.1,41.4,12.00%,8.40%,9.60%,4.80%,37.30%,50.9
Jose Calderon,NYK,72,72,9.80%,0.96,69,24,52,46.2,47.1,20.80%,9.70%,20.80%,2.80%,48.60%,26.6
Jonas Jerebko,BOS,78,80,19.70%,0.86,69,25,63,39.7,42.1,15.00%,7.50%,12.50%,1.30%,43.80%,46.4
Reggie Jackson,DET,79,78,8.80%,0.88,69,26,63,41.3,42.1,11.50%,9.00%,10.30%,1.30%,43.60%,41.2
Matt Barnes,MEM,76,66,8.50%,1.06,70,23,50,46,52,19.70%,6.10%,18.20%,3.00%,51.50%,12
Dirk Nowitzki,DAL,75,78,8.50%,0.91,71,26,69,37.7,39.1,14.10%,2.60%,14.10%,5.10%,42.30%,35.3
Rodney Hood,UTA,80,87,12.00%,0.91,79,32,76,42.1,43.4,10.30%,4.60%,10.30%,3.40%,43.70%,36.1
Evan Fournier,ORL,79,88,10.80%,0.85,75,23,61,37.7,39.3,20.50%,14.80%,19.30%,4.50%,40.90%,48.6
Otto Porter Jr.,WAS,75,72,10.20%,1.06,76,27,58,46.6,50.9,13.90%,5.60%,13.90%,0.00%,51.40%,12.5
Ryan Anderson,NOP,66,94,12.30%,0.8,75,28,80,35,37.5,8.50%,7.40%,8.50%,1.10%,37.20%,60.9
James Harden,HOU,82,107,10.90%,0.73,78,28,87,32.2,34.5,13.10%,8.40%,11.20%,2.80%,36.40%,75.2
Ricky Rubio,MIN,76,72,8.30%,1.1,79,29,58,50,53.4,16.70%,9.70%,12.50%,6.90%,50.00%,8
LaMarcus Aldridge,SAS,74,106,11.40%,0.76,81,33,85,38.8,40,9.40%,9.40%,7.50%,0.00%,40.60%,68.4
Roy Hibbert,LAL,81,71,9.30%,1.1,78,26,54,48.1,51.9,21.10%,7.00%,19.70%,4.20%,53.50%,7.8
Jrue Holiday,NOP,65,89,11.10%,0.88,78,28,65,43.1,46.9,12.40%,14.60%,10.10%,0.00%,42.70%,43.4
Paul George,IND,81,101,10.10%,0.8,81,31,79,39.2,41.8,11.90%,11.90%,10.90%,2.00%,39.60%,59.6
Taj Gibson,CHI,73,105,13.30%,0.74,78,31,94,33,35.1,10.50%,2.90%,10.50%,2.90%,36.20%,72.5
Willie Cauley-Stein,SAC,66,86,15.40%,0.92,79,33,75,44,47.3,7.00%,5.80%,7.00%,0.00%,44.20%,33.8
Nikola Mirotic,CHI,66,98,15.50%,0.98,96,35,81,43.2,44.4,15.30%,4.10%,15.30%,2.00%,48.00%,23.3
Kevin Durant,OKC,72,110,13.30%,0.75,82,27,91,29.7,33,14.50%,6.40%,12.70%,3.60%,34.50%,71.7
Klay Thompson,GSW,80,113,12.30%,0.77,87,27,85,31.8,34.1,15.00%,10.60%,15.00%,0.90%,38.10%,67.4
Jared Dudley,WAS,81,93,12.70%,0.91,85,36,77,46.8,48.7,8.60%,11.80%,7.50%,3.20%,44.10%,34.6
Anthony Davis,NOP,61,98,10.90%,0.85,83,37,92,40.2,41.8,3.10%,3.10%,3.10%,0.00%,40.80%,49.9
Trevor Ariza,HOU,82,100,11.80%,1,100,33,75,44,47.3,15.00%,9.00%,12.00%,0.00%,48.00%,18.7
Stephen Curry,GSW,79,127,12.60%,0.71,90,33,96,34.4,35.9,11.80%,15.00%,11.00%,2.40%,35.40%,79.4
Garrett Temple,WAS,80,84,11.00%,1.07,90,24,53,45.3,48.1,27.40%,10.70%,22.60%,1.20%,53.60%,9.8
Jae Crowder,BOS,73,112,13.40%,0.92,103,37,93,39.8,43.5,14.30%,5.40%,12.50%,2.70%,44.60%,33.3
DeAndre Jordan,LAC,77,133,10.20%,0.74,99,34,105,32.4,36.2,12.00%,9.00%,9.80%,0.00%,37.60%,71.9
Kristaps Porzingis,NYK,72,125,14.10%,0.78,98,40,107,37.4,40.2,8.00%,8.00%,7.20%,1.60%,38.40%,65.2
Khris Middleton,MIL,79,109,12.30%,0.94,102,39,81,48.1,50.6,11.90%,16.50%,10.10%,2.80%,45.00%,30.6
Marcus Morris,DET,80,119,13.60%,0.89,106,40,94,42.6,44.7,10.10%,12.60%,10.10%,1.70%,42.00%,38.8
Serge Ibaka,OKC,78,143,15.50%,0.8,114,44,127,34.6,37.8,9.10%,3.50%,9.10%,1.40%,37.80%,61.2
Draymond Green,GSW,81,191,15.70%,0.68,129,51,167,30.5,33.2,5.80%,7.30%,5.80%,0.50%,31.90%,85.2